,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,year,genre,Adventure,Music,Western,Drama,Mystery,Romance,Comedy,Family,Musical,War,\N,Crime,Action,History,Thriller,Animation,Documentary,Fantasy,Biography,Horror,Sport,Film-Noir,Sci-Fi,News,Talk-Show,Adult,Reality-TV,Short,Game-Show,total,new_title
4950,351912,tt7890408,movie,The Cannibal Club,O Clube dos Canibais,0,2018,\N,81,"Comedy,Horror",2018,"['Comedy', 'Horror']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,o clube dos canibais
4953,351990,tt7895852,movie,My Own Private Hell,Inferninho,0,2018,\N,82,"Comedy,Drama",2018,"['Comedy', 'Drama']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,inferninho
4955,352246,tt7913860,movie,"Clarice, the Awakening of the Dreamers","Clarice, O Despertar Dos Que Sonham",0,2017,\N,49,Drama,2017,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,clarice o despertar dos que sonham
4958,352584,tt7937758,movie,Wherever You Are,Wherever You Are,0,2018,\N,101,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,wherever you are
4960,352811,tt7951342,movie,Algum Lugar no Tempo,Algum Lugar no Tempo,0,2011,\N,\N,Sci-Fi,2011,['Sci-Fi'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,algum lugar no tempo
4962,352902,tt7957908,movie,200 Minutes of Something I Haven't Felt,200 Minutes of Something I Haven't Felt,0,2017,\N,83,"Comedy,Drama,Romance",2017,"['Comedy', 'Drama', 'Romance']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200 minutes of something i haven't felt
4964,352963,tt7962176,movie,Histórias de Marabaixo,Histórias de Marabaixo,0,2016,\N,76,Documentary,2016,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,historias de marabaixo
4965,353030,tt7966854,movie,De Volta Ao Jardim,De Volta Ao Jardim,0,2018,\N,\N,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,de volta ao jardim
4966,353076,tt7968818,movie,Copa 181,Copa 181,0,2017,\N,82,Drama,2017,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,copa 181
4968,353132,tt7972528,movie,I Remember the Crows,Lembro mais dos Corvos,0,2018,\N,82,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,lembro mais dos corvos
4969,353186,tt7975740,movie,Partiu Paraguai (WT),Partiu Paraguai (WT),0,2018,\N,\N,Romance,2018,['Romance'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,partiu paraguai (wt
4970,353244,tt7979802,movie,Romualdo e Jucimara,Romualdo e Jucimara,0,2017,\N,120,Romance,2017,['Romance'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,romualdo e jucimara
4971,353258,tt7980626,movie,The Evil Path,Caminhos Macabros,0,2017,\N,70,Mystery,2017,['Mystery'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,caminhos macabros
4972,353321,tt7983678,movie,Nossa Chape,Nossa Chape,0,2018,\N,101,"Documentary,Sport",2018,"['Documentary', 'Sport']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,nossa chape
4973,353386,tt7986672,movie,The Nightshifter,Morto Não Fala,0,2018,\N,110,"Horror,Mystery,Thriller",2018,"['Horror', 'Mystery', 'Thriller']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,morto nao fala
4975,353390,tt7986850,movie,Adoniran: Meu nome é João Rubinato,Adoniran: Meu nome é João Rubinato,0,2018,\N,92,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,adoniran meu nome e joao rubinato
4978,353665,tt8007154,movie,Mundo da Vida,Mundo da Vida,0,2018,\N,\N,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mundo da vida
4979,353676,tt8008656,movie,Ape Girl,Ape Girl,0,2018,\N,62,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ape girl
4980,353933,tt8026554,movie,Socrates,Socrates,0,2018,\N,71,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,socrates
4983,354038,tt8035740,movie,Araraquara: Memórias De Uma Cidade,Araraquara: Memórias De Uma Cidade,0,2013,\N,\N,Documentary,2013,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,araraquara memorias de uma cidade
4984,354039,tt8035766,movie,Malagrida,Malagrida,0,2001,\N,\N,Documentary,2001,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,malagrida
4987,354209,tt8050404,movie,Vila Maria Zélia: Um Filme Memória,Vila Maria Zélia: Um Filme Memória,0,2017,\N,\N,Documentary,2017,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,vila maria zelia um filme memoria
4988,354299,tt8059170,movie,Botinada: A Origem do Punk no Brasil,Botinada: A Origem do Punk no Brasil,0,2006,\N,\N,Documentary,2006,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,botinada a origem do punk no brasil
4989,354318,tt8059720,movie,"From Sao Paulo to Juneau, in a VW Bug","From Sao Paulo to Juneau, in a VW Bug",0,2018,\N,\N,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,from sao paulo to juneau in a vw bug
4990,354454,tt8070606,movie,Vó é a Mãe,Vó é a Mãe,0,2018,\N,\N,Comedy,2018,['Comedy'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,vo e a mae
4991,354553,tt8077978,movie,The Great Grey Cloud,A Grande Nuvem Cinza,0,2016,\N,72,Documentary,2016,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a grande nuvem cinza
4992,354558,tt8078956,movie,Choro Novo,Choro Novo,0,2000,\N,\N,Documentary,2000,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,choro novo
4993,354564,tt8079500,movie,O que nos olha,O que nos olha,0,2017,\N,70,Documentary,2017,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,o que nos olha
4994,354565,tt8079502,movie,Silêncio das Inocentes,Silêncio das Inocentes,0,2010,\N,\N,Documentary,2010,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,silencio das inocentes
4995,354603,tt8083292,movie,Mapas Afetivos: São Paulo,Mapas Afetivos: São Paulo,0,2018,\N,52,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mapas afetivos sao paulo
4996,354830,tt8103632,movie,Unfamiliar Ceiling: The Beast,Unfamiliar Ceiling: The Beast,0,2018,\N,71,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,unfamiliar ceiling the beast
4997,354839,tt8104138,movie,What if,What if,0,2017,\N,70,"Comedy,Drama,Romance",2017,"['Comedy', 'Drama', 'Romance']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,what if
4998,354855,tt8105738,movie,Clandestine Soul,Clandestine Soul,0,2018,\N,100,"Biography,Documentary,History",2018,"['Biography', 'Documentary', 'History']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,clandestine soul
5001,354961,tt8111364,movie,Right There: South Africa,Right There: South Africa,0,2018,\N,72,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,right there south africa
5002,355115,tt8125376,movie,Imo,Imo,0,2018,\N,71,Fantasy,2018,['Fantasy'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,imo
5003,355218,tt8133136,movie,A Alma Roqueira de Noel,A Alma Roqueira de Noel,0,2011,\N,70,Documentary,2011,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a alma roqueira de noel
5004,355224,tt8133880,movie,"Carnival, No meu quintal","Carnival, No meu quintal",0,2011,\N,\N,Documentary,2011,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,carnival no meu quintal
5005,355228,tt8134236,movie,"Cutback, O Surfista que Mudou a Própria História","Cutback, O Surfista que Mudou a Própria História",0,2012,\N,\N,Documentary,2012,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cutback o surfista que mudou a propria historia
5006,355229,tt8134300,movie,Brasil! Documentario Copa do Mundo FIFA 2014,Brasil! Documentario Copa do Mundo FIFA 2014,0,2014,\N,\N,Documentary,2014,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,brasil! documentario copa do mundo fifa 2014
5012,355640,tt8167820,movie,The Whisper of the Jaguar,O Sussurro do Jaguar,0,2018,\N,80,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,o sussurro do jaguar
5013,355650,tt8169178,movie,Mormaço,Mormaço,0,2018,\N,94,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mormaco
5015,355708,tt8173054,movie,Túlio Piva Pandeiro de Prata,Túlio Piva Pandeiro de Prata,0,2016,\N,\N,Documentary,2016,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,tulio piva pandeiro de prata
5016,355868,tt8183418,movie,Azougue Nazaré,Azougue Nazaré,0,2018,\N,80,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,azougue nazare
5017,355934,tt8188542,movie,Primavera,Primavera,0,2018,\N,\N,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primavera
5018,355954,tt8189642,movie,O Artista tá nas Ruas,O Artista tá nas Ruas,0,2014,\N,\N,Documentary,2014,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,o artista ta nas ruas
5025,356283,tt8219300,movie,Brasil Santo,Brasil Santo,0,2009,\N,70,Documentary,2009,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,brasil santo
5026,356347,tt8223396,movie,Terra Convexa,Terra Convexa,0,2018,\N,93,Documentary,2018,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,terra convexa
5028,356834,tt8262374,movie,A New Capitalism,Um Novo Capitalismo,0,2017,\N,71,Documentary,2017,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,um novo capitalismo
5029,356972,tt8272406,movie,The Boat,O Barco,0,2018,\N,72,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,o barco
5030,356989,tt8274176,movie,Belarmino e Gabriela,Belarmino e Gabriela,0,2007,\N,\N,Documentary,2007,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,belarmino e gabriela
5032,357288,tt8301540,movie,Empty Days,Dias Vazios,0,2018,\N,102,Drama,2018,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dias vazios
5033,357411,tt8310490,movie,Abaixo a Gravidade,Abaixo a Gravidade,0,2017,\N,109,Drama,2017,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,abaixo a gravidade
5036,357503,tt8318854,movie,Dívida pública brasileira: A soberania na corda bamba,Dívida pública brasileira: A soberania na corda bamba,0,2014,\N,\N,Documentary,2014,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,divida publica brasileira a soberania na corda bamba
5037,357528,tt8322694,movie,É Bucha,É Bucha,0,2012,\N,\N,Documentary,2012,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,e bucha
